 
,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
106,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,31-235,1989,6.5,3,0,0,5,4,0,19,8,5,0,0,0,75,11,11,50.0,Matches
107,Angeliño\Angelino,es ESP,DFFW,RB Leipzig,de Bundesliga,24-114,1997,22.7,2,0,0,20,26,7,105,29,16,0,0,0,177,17,28,37.8,Matches
108,Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,it ITA,DF,Atalanta,it Serie A,19-316,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
109,Philip Ankhrah\Philip-Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,18-213,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
110,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DF,Torino,it Serie A,34-220,1986,16.2,1,0,0,22,20,0,104,25,21,0,1,0,108,3,12,20.0,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-282,1996,27.1,3,0,0,21,32,1,8,45,20,0,1,0,313,58,42,58.0,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-280,1998,0.3,1,0,0,2,1,0,0,1,0,0,0,0,4,2,0,100.0,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-031,1990,17.2,3,0,0,19,33,14,22,8,5,0,0,0,64,48,93,34.0,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-170,2000,2.2,1,0,0,2,2,0,0,2,3,0,0,0,12,2,4,33.3,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-302,1998,17.5,2,1,0,17,21,3,17,14,10,0,0,0,107,6,14,30.0,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-287,2002,17.5,2,0,0,18,28,2,39,5,19,0,0,0,102,15,27,35.7,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-323,1992,13.4,3,0,0,13,3,1,33,18,24,0,1,0,142,25,13,65.8,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-087,1998,0.3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,50.0,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-210,1995,30.2,10,0,0,52,71,1,48,48,54,0,0,0,316,47,57,45.2,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-011,1989,16.6,4,0,0,28,21,0,2,23,28,0,0,0,209,13,20,39.4,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-330,1996,14.3,4,0,0,19,16,0,23,11,19,0,0,0,117,9,21,30.0,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-242,1991,23.5,4,0,0,29,4,0,2,28,15,0,0,0,242,60,33,64.5,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-052,1999,12.8,2,0,0,8,14,1,0,9,15,1,1,0,116,45,10,81.8,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-348,1987,26.2,8,0,0,34,12,0,30,44,23,0,2,0,363,67,45,59.8,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-060,1993,32.0,1,0,0,0,4,0,0,0,0,0,0,0,128,0,0,,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-105,1992,1.0,0,0,0,1,0,0,0,0,4,0,0,0,12,0,3,0.0,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-308,1994,3.3,0,0,0,2,2,0,1,0,0,1,0,0,12,11,41,21.2,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-117,1999,0.5,1,0,0,3,1,2,0,0,0,0,0,0,1,0,2,0.0,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-029,1992,24.9,3,0,0,32,22,4,25,27,38,0,0,0,201,6,18,25.0,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-336,1994,25.7,5,1,0,32,53,0,29,37,39,0,1,0,346,36,31,53.7,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-156,2000,1.2,0,0,0,1,1,2,0,0,1,0,0,0,7,9,11,45.0,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-210,2001,1.4,1,0,0,1,2,2,1,3,1,0,0,0,13,1,2,33.3,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-207,1994,5.0,0,0,0,1,0,0,0,0,0,0,0,0,27,0,0,,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-255,1990,18.5,8,0,0,34,41,0,7,18,36,0,1,0,180,13,9,59.1,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Cagliari,it Serie A,32-140,1988,2.0,0,0,0,0,4,0,3,4,4,0,0,0,17,2,1,66.7,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-062,1997,4.3,1,0,0,6,0,0,1,4,5,0,0,0,46,3,6,33.3,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-304,1989,32.0,1,0,0,0,2,0,0,0,0,0,0,0,127,0,0,,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-097,1996,18.3,1,0,0,4,27,6,59,14,10,0,0,0,107,8,6,57.1,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-109,2001,0.9,2,0,0,3,0,0,1,1,1,0,0,0,4,1,2,33.3,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-270,1987,28.2,8,0,0,21,50,12,37,15,4,0,1,0,136,16,46,25.8,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-166,1993,9.2,0,1,0,12,26,5,5,7,7,1,0,0,39,9,22,29.0,Matches
