,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-050,1994,8.2,19,11,16,2,1,8,10,80.0,2,76,14,18.4,47,20,9,29,4,0,25,12,31,34,1,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-031,1997,6.2,7,3,1,0,6,1,6,16.7,5,94,25,26.6,7,47,40,2,0,0,2,3,10,2,0,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-183,1996,20.1,20,13,5,12,3,5,29,17.2,24,307,105,34.2,62,173,72,18,3,0,15,18,38,6,0,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-226,2000,23.2,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-250,1996,24.9,57,39,21,29,7,22,58,37.9,36,537,147,27.4,155,294,88,43,5,0,38,20,77,17,0,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-201,1989,7.6,17,13,10,4,3,5,24,20.8,19,157,55,35.0,60,79,18,17,2,0,15,7,24,15,0,Matches
94,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24-332,1996,26.7,32,19,18,11,3,15,31,48.4,16,155,51,32.9,104,41,10,27,13,0,14,37,69,211,1,Matches
95,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24-332,1996,2.1,1,1,1,0,0,0,2,0.0,2,23,5,21.7,9,12,2,2,0,0,2,0,1,7,0,Matches
96,Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,26-007,1995,0.8,0,0,0,0,0,0,1,0.0,1,10,1,10.0,1,7,2,2,0,0,2,0,0,0,0,Matches
97,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,18-173,2002,0.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0,Matches
98,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,28-013,1993,0.0,1,1,0,1,0,0,2,0.0,2,3,1,33.3,1,2,0,0,0,0,0,0,1,0,0,Matches
99,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29-287,1991,10.1,5,2,0,3,2,0,5,0.0,5,136,29,21.3,7,69,60,9,2,0,7,3,8,8,0,Matches
