 
,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
111,Waldemar Anton\Waldemar-Anton,de GER,DF,Stuttgart,de Bundesliga,24-282,1996,27.1,0,9,3,33.3,0.33,0.11,0.00,0.00,15.9,0,0,0,0.9,0.9,0.10,-0.9,-0.9,Matches
112,José Antonio Miranda\Jose-Antonio-Miranda,gq EQG,MFDF,Getafe,es La Liga,22-280,1998,0.3,0,2,0,0.0,7.83,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
113,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,eng Premier League,31-031,1990,17.2,7,51,20,39.2,2.97,1.16,0.14,0.35,12.6,0,0,0,9.5,9.5,0.19,-2.5,-2.5,Matches
114,Valentin Antov\Valentin-Antov,bg BUL,DF,Bologna,it Serie A,20-170,2000,2.2,0,1,0,0.0,0.45,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
115,Houssem Aouar\Houssem-Aouar,fr FRA,MF,Lyon,fr Ligue 1,22-302,1998,17.5,5,63,20,31.7,3.60,1.14,0.05,0.15,16.1,0,2,2,9.2,7.7,0.12,-4.2,-4.7,Matches
116,Adil Aouchiche\Adil-Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-287,2002,17.5,2,22,11,50.0,1.26,0.63,0.09,0.18,20.0,1,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches
117,Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,28-323,1992,13.4,0,4,0,0.0,0.30,0.00,0.00,,20.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
118,Aritz Arambarri\Aritz-Arambarri,es ESP,DF,Real Sociedad,es La Liga,23-087,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
119,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Getafe,es La Liga,25-210,1995,30.2,3,41,7,17.1,1.36,0.23,0.07,0.43,24.3,6,0,0,2.1,2.1,0.05,+0.9,+0.9,Matches
120,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,de Bundesliga,32-011,1989,16.6,0,4,2,50.0,0.24,0.12,0.00,0.00,9.7,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
121,Luiz Araújo\Luiz-Araujo,br BRA,MF,Lille,fr Ligue 1,24-330,1996,14.3,4,45,9,20.0,3.15,0.63,0.09,0.44,22.7,1,0,0,3.2,3.2,0.07,+0.8,+0.8,Matches
122,Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,29-242,1991,23.5,0,6,0,0.0,0.26,0.00,0.00,,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
123,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,22-052,1999,12.8,2,7,3,42.9,0.55,0.23,0.29,0.67,8.7,0,0,0,0.7,0.7,0.09,+1.3,+1.3,Matches
124,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,33-348,1987,26.2,0,24,2,8.3,0.92,0.08,0.00,0.00,27.5,3,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
125,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,eng Premier League,28-060,1993,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
126,Santiago Arias\Santiago-Arias,co COL,DF,Leverkusen,de Bundesliga,29-105,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,Karim Aribi\Karim-Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26-308,1994,3.3,0,9,2,22.2,2.76,0.61,0.00,0.00,12.3,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
128,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,22-117,1999,0.5,0,1,0,0.0,1.91,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
129,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,29-029,1992,24.9,4,43,11,25.6,1.73,0.44,0.09,0.36,20.0,0,0,0,2.6,2.6,0.06,+1.4,+1.4,Matches
130,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,26-336,1994,25.7,3,45,13,28.9,1.75,0.51,0.07,0.23,28.7,8,0,0,1.7,1.7,0.04,+1.3,+1.3,Matches
131,Toluwalas Arokodare\Toluwalas-Arokodare,ng NGA,FW,Köln,de Bundesliga,20-156,2000,1.2,0,4,1,25.0,3.21,0.80,0.00,0.00,9.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
132,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,es La Liga,19-210,2001,1.4,0,1,1,100.0,0.71,0.71,0.00,0.00,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
133,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26-207,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
134,Tolgay Arslan\Tolgay-Arslan,de GER,MF,Udinese,it Serie A,30-255,1990,18.5,3,18,6,33.3,0.97,0.32,0.17,0.50,21.4,0,0,0,0.7,0.7,0.04,+2.3,+2.3,Matches
135,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Cagliari,it Serie A,32-140,1988,2.0,0,1,1,100.0,0.49,0.49,0.00,0.00,25.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
136,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,24-062,1997,4.3,1,5,3,60.0,1.17,0.70,0.20,0.33,19.9,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
137,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,31-304,1989,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
138,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,es La Liga,25-097,1996,18.3,4,33,10,30.3,1.80,0.55,0.12,0.40,18.4,3,0,0,4.3,4.3,0.13,-0.3,-0.3,Matches
139,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,20-109,2001,0.9,0,1,0,0.0,1.07,0.00,0.00,,25.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
140,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,33-270,1987,28.2,13,39,19,48.7,1.38,0.67,0.23,0.47,15.6,5,4,4,10.9,7.8,0.20,+2.1,+1.2,Matches
141,Roger Assalé\Roger-Assale,ci CIV,FWMF,Dijon,fr Ligue 1,27-166,1993,9.2,1,11,5,45.5,1.20,0.54,0.09,0.20,16.6,0,0,0,0.8,0.8,0.07,+0.2,+0.2,Matches
142,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,21-336,1999,4.5,0,1,0,0.0,0.22,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
143,Youcef Attal\Youcef-Attal,dz ALG,DFMF,Nice,fr Ligue 1,24-346,1996,7.4,1,7,4,57.1,0.95,0.54,0.14,0.25,16.5,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
144,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31-314,1989,22.3,9,48,18,37.5,2.15,0.81,0.15,0.39,14.1,0,2,2,9.0,7.4,0.15,0.0,-0.4,Matches
145,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,it Serie A,24-100,1997,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
146,Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,26-241,1994,30.7,1,6,2,33.3,0.20,0.07,0.17,0.50,20.0,0,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
147,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Nantes,fr Ligue 1,23-316,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
148,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,27-007,1994,19.7,0,16,6,37.5,0.81,0.30,0.00,0.00,17.8,3,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches
149,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,28-125,1992,15.8,2,13,5,38.5,0.82,0.32,0.15,0.40,16.1,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches
150,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,eng Premier League,31-297,1989,1.5,0,3,0,0.0,1.96,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
151,Ezequiel Ávila\Ezequiel-Avila,ar ARG,FWMF,Osasuna,es La Liga,27-081,1994,0.6,0,1,0,0.0,1.64,0.00,0.00,,12.0,0,0,0,0.3,0.3,0.31,-0.3,-0.3,Matches
152,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23-259,1997,14.3,5,26,13,50.0,1.81,0.91,0.19,0.38,11.4,0,0,0,6.5,6.5,0.25,-1.5,-1.5,Matches
153,Mehmet-Can Aydin\Mehmet-Can-Aydin,de GER,DF,Schalke 04,de Bundesliga,19-078,2002,3.8,0,1,0,0.0,0.26,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
154,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,29-229,1991,21.1,1,21,9,42.9,1.00,0.43,0.05,0.11,17.6,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
155,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Sassuolo,it Serie A,26-169,1994,8.5,0,5,0,0.0,0.59,0.00,0.00,,15.1,2,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
156,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,eng Premier League,29-246,1991,32.8,0,20,5,25.0,0.61,0.15,0.00,0.00,18.0,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
157,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,es La Liga,28-137,1992,1.1,0,2,0,0.0,1.78,0.00,0.00,,13.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
158,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31-243,1989,20.5,1,10,4,40.0,0.49,0.20,0.10,0.25,15.3,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
159,Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,34-339,1986,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
160,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,es La Liga,34-232,1986,6.8,2,15,8,53.3,2.21,1.18,0.13,0.25,13.1,0,0,0,2.6,2.6,0.17,-0.6,-0.6,Matches
161,Loïc Bade\Loic-Bade,fr FRA,DF,Lens,fr Ligue 1,21-017,2000,26.0,0,10,3,30.0,0.38,0.12,0.00,0.00,15.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
162,Milan Badelj\Milan-Badelj,hr CRO,MF,Genoa,it Serie A,32-062,1989,24.4,1,16,4,25.0,0.66,0.16,0.06,0.25,24.4,0,0,0,0.5,0.5,0.03,+0.5,+0.5,Matches
163,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,es La Liga,29-075,1992,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
164,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,es La Liga,19-282,2001,1.4,0,2,1,50.0,1.44,0.72,0.00,0.00,24.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
165,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,es La Liga,21-032,2000,5.8,1,11,2,18.2,1.90,0.35,0.09,0.50,14.1,0,0,0,1.5,1.5,0.16,-0.5,-0.5,Matches
166,Stéphane Bahoken\Stephane-Bahoken,cm CMR,FW,Angers,fr Ligue 1,28-335,1992,15.8,6,52,22,42.3,3.28,1.39,0.12,0.27,16.6,0,0,1,6.6,5.9,0.11,-0.6,+0.1,Matches
167,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,de Bundesliga,23-262,1997,23.3,9,58,22,37.9,2.49,0.94,0.16,0.41,20.7,3,0,0,6.6,6.6,0.11,+2.4,+2.4,Matches
168,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27-016,1994,7.1,0,1,0,0.0,0.14,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
169,Stefan Bajic\Stefan-Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19-126,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
170,Tiemoué Bakayoko\Tiemoue-Bakayoko,fr FRA,MF,Napoli,it Serie A,26-254,1994,18.9,2,10,4,40.0,0.53,0.21,0.20,0.50,18.2,0,0,0,0.6,0.6,0.06,+1.4,+1.4,Matches
171,Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20-312,2000,17.8,0,2,2,100.0,0.11,0.11,0.00,0.00,14.0,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-020,1998,26.8,6,30,11,36.7,1.12,0.41,0.20,0.55,18.3,0,0,0,2.7,2.7,0.09,+3.3,+3.3,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-020,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-245,2002,0.6,0,3,2,66.7,4.82,3.21,0.00,0.00,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-248,1991,13.3,1,8,2,25.0,0.60,0.15,0.13,0.50,9.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
176,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,26-051,1995,11.2,5,35,15,42.9,3.14,1.34,0.14,0.33,13.0,0,0,0,4.7,4.7,0.13,+0.3,+0.3,Matches
177,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,28-050,1993,27.0,0,11,2,18.2,0.41,0.07,0.00,0.00,16.8,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
178,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31-286,1989,7.2,6,23,10,43.5,3.18,1.38,0.26,0.60,18.6,5,0,0,3.2,3.2,0.14,+2.8,+2.8,Matches
179,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,33-058,1988,12.8,0,2,1,50.0,0.16,0.08,0.00,0.00,30.7,1,0,0,0.0,0.0,0.02,0.0,0.0,Matches
180,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Marseille,fr Ligue 1,22-092,1999,15.1,2,11,3,27.3,0.73,0.20,0.18,0.67,8.5,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Matches
181,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,24-115,1997,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
182,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18-326,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
183,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,31-003,1990,15.0,0,1,1,100.0,0.07,0.07,0.00,0.00,15.6,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
184,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,25-033,1996,30.2,6,57,18,31.6,1.89,0.60,0.11,0.33,21.4,1,0,0,4.3,4.3,0.08,+1.7,+1.7,Matches
185,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,23-167,1997,11.6,0,2,1,50.0,0.17,0.09,0.00,0.00,14.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
186,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,27-235,1993,30.2,14,97,38,39.2,3.21,1.26,0.13,0.34,12.7,0,1,1,15.1,14.3,0.15,-1.1,-1.3,Matches
187,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,27-139,1993,10.2,0,5,1,20.0,0.49,0.10,0.00,0.00,8.9,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
188,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,27-139,1993,10.7,0,7,2,28.6,0.66,0.19,0.00,0.00,9.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
189,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,24-258,1996,14.3,5,34,12,35.3,2.37,0.84,0.12,0.33,13.2,0,1,1,5.7,4.9,0.15,-0.7,-0.9,Matches
190,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,26-146,1994,27.2,7,39,14,35.9,1.44,0.52,0.18,0.50,15.0,1,0,0,5.4,5.4,0.14,+1.6,+1.6,Matches
191,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,27-239,1993,25.2,0,9,2,22.2,0.36,0.08,0.00,0.00,13.5,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
192,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,25-059,1996,2.8,0,2,0,0.0,0.72,0.00,0.00,,20.0,1,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
193,Barcia\Barcia,es ESP,DF,Granada,es La Liga,20-118,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
194,Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,20-173,2000,4.8,0,2,1,50.0,0.42,0.21,0.00,0.00,16.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
195,Enis Bardhi\Enis-Bardhi,mk MKD,MFFW,Levante,es La Liga,25-300,1995,16.2,1,32,11,34.4,1.98,0.68,0.03,0.09,20.3,4,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
196,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,35-304,1985,3.0,0,4,0,0.0,1.31,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
197,Nicolò Barella\Nicolo-Barella,it ITA,MF,Inter,it Serie A,24-080,1997,28.8,3,33,9,27.3,1.14,0.31,0.09,0.33,20.4,0,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches
198,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,32-056,1989,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
199,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,es La Liga,24-027,1997,13.1,2,18,10,55.6,1.37,0.76,0.11,0.20,16.1,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
200,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,eng Premier League,27-144,1993,14.5,3,35,11,31.4,2.42,0.76,0.09,0.27,17.5,1,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches
201,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,eng Premier League,27-144,1993,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
202,Aymen Barkok\Aymen-Barkok,ma MAR,FWMF,Eint Frankfurt,de Bundesliga,22-342,1998,10.3,2,16,4,25.0,1.55,0.39,0.13,0.50,20.3,1,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
203,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,eng Premier League,31-180,1989,14.4,3,36,12,33.3,2.51,0.84,0.06,0.17,16.0,0,1,1,4.9,4.1,0.11,-1.9,-2.1,Matches
204,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23-140,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,+2.8,+2.8,Matches
205,Marc Baró Ortiz\Marc-Baro-Ortiz,es ESP,DF,Cádiz,es La Liga,21-248,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,23.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
206,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,es La Liga,33-320,1987,21.3,0,4,0,0.0,0.19,0.00,0.00,,14.4,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
207,Antonio Barreca\Antonio-Barreca,it ITA,DF,Fiorentina,it Serie A,26-041,1995,0.9,0,2,1,50.0,2.12,1.06,0.00,0.00,14.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
208,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,de Bundesliga,21-115,2000,22.3,2,29,9,31.0,1.30,0.40,0.07,0.22,16.0,0,0,0,2.9,2.9,0.10,-0.9,-0.9,Matches
209,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,es La Liga,19-122,2001,12.6,3,20,6,30.0,1.59,0.48,0.15,0.50,18.7,0,0,0,1.5,1.5,0.07,+1.5,+1.5,Matches
210,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,de Bundesliga,26-162,1994,11.7,0,2,0,0.0,0.17,0.00,0.00,,19.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
211,Musa Barrow\Musa-Barrow,gm GAM,FWMF,Bologna,it Serie A,22-165,1998,28.5,8,74,35,47.3,2.60,1.23,0.11,0.23,19.9,5,0,1,7.4,6.5,0.09,+0.6,+1.5,Matches
212,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,eng Premier League,29-341,1991,23.7,3,11,5,45.5,0.46,0.21,0.27,0.60,6.9,0,0,0,1.8,1.8,0.16,+1.2,+1.2,Matches
213,Paolo Bartolomei\Paolo-Bartolomei,it ITA,MF,Spezia,it Serie A,31-250,1989,3.6,0,4,0,0.0,1.13,0.00,0.00,,24.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
214,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,es La Liga,30-103,1991,14.8,0,11,4,36.4,0.74,0.27,0.00,0.00,18.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
215,Daniele Baselli\Daniele-Baselli,it ITA,MF,Torino,it Serie A,29-047,1992,2.2,0,4,2,50.0,1.80,0.90,0.00,0.00,23.6,2,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
216,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,eng Premier League,32-282,1988,23.6,0,8,1,12.5,0.34,0.04,0.00,0.00,14.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
217,Toma Bašić\Toma-Basic,hr CRO,MF,Bordeaux,fr Ligue 1,24-154,1996,26.0,4,41,17,41.5,1.58,0.65,0.10,0.24,20.9,6,0,0,3.0,3.0,0.07,+1.0,+1.0,Matches
218,Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,22-015,1999,28.6,0,9,2,22.2,0.31,0.07,0.00,0.00,10.7,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
219,Simone Bastoni\Simone-Bastoni,it ITA,DF,Spezia,it Serie A,24-174,1996,15.2,1,19,2,10.5,1.25,0.13,0.05,0.50,20.3,1,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
220,Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,30-032,1991,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
221,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,eng Premier League,27-208,1993,7.9,2,12,6,50.0,1.52,0.76,0.17,0.33,16.9,0,0,0,1.4,1.4,0.12,+0.6,+0.6,Matches
222,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,es La Liga,29-290,1991,24.5,1,12,4,33.3,0.49,0.16,0.08,0.25,14.6,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches
223,Cristian Battocchio\Cristian-Battocchio,it ITA,MFFW,Brest,fr Ligue 1,29-077,1992,3.9,0,5,1,20.0,1.27,0.25,0.00,0.00,22.6,1,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
224,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,de Bundesliga,30-330,1990,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
225,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33-116,1988,11.9,2,7,4,57.1,0.59,0.34,0.29,0.50,14.6,0,0,0,1.4,1.4,0.19,+0.6,+0.6,Matches
226,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21-270,1999,25.3,5,54,17,31.5,2.13,0.67,0.09,0.29,15.0,1,0,0,5.1,5.1,0.09,-0.1,-0.1,Matches
227,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,es La Liga,25-299,1995,3.1,0,7,2,28.6,2.28,0.65,0.00,0.00,16.2,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
228,Paul Baysse\Paul-Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,32-345,1988,27.7,2,10,2,20.0,0.36,0.07,0.20,1.00,9.3,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
229,Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,ng NGA,FWMF,Augsburg,de Bundesliga,24-250,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
230,Ihlas Bebou\Ihlas-Bebou,tg TOG,FW,Hoffenheim,de Bundesliga,27-005,1994,21.5,8,41,18,43.9,1.90,0.84,0.20,0.44,12.7,0,0,0,8.2,8.2,0.20,-0.2,-0.2,Matches
231,Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,25-099,1996,26.9,1,11,2,18.2,0.41,0.07,0.09,0.50,8.9,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
