,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2122,Marco Reus\Marco-Reus,de GER,MFFW,Dortmund,de Bundesliga,31-332,1989,22.7,1030,959,71,31,5,170,22,50,14,5,5,0,794,119,117,217,759,22,10,10,819,4,9,35,49,Matches
2123,Elvis Rexhbeçaj\Elvis-Rexhbecaj,de GER,MFFW,Köln,de Bundesliga,23-178,1997,19.6,621,554,67,21,2,110,21,27,31,17,7,3,377,81,163,451,127,24,7,7,402,5,6,33,36,Matches
2124,Oriol Rey\Oriol-Rey,es ESP,MF,Valladolid,es La Liga,23-062,1998,0.2,13,13,0,0,0,2,0,0,0,0,0,0,11,0,2,11,1,1,0,0,11,0,0,0,0,Matches
2125,Gio Reyna\Gio-Reyna,us USA,FWMF,Dortmund,de Bundesliga,18-166,2002,20.1,901,837,64,9,5,156,20,29,32,13,16,0,703,101,97,91,732,36,21,5,714,3,15,22,32,Matches
2126,Baptiste Reynet\Baptiste-Reynet,fr FRA,GK,Nîmes,fr Ligue 1,30-182,1990,34.0,1407,985,422,148,2,57,45,0,0,0,0,0,628,59,720,83,1082,2,1,125,927,1,39,7,4,Matches
2127,Bryan Reynolds\Bryan-Reynolds,us USA,DF,Roma,it Serie A,19-304,2001,2.0,84,65,19,2,0,4,5,4,0,0,0,0,52,19,13,8,57,2,17,0,67,0,4,5,1,Matches
2128,Franck Ribéry\Franck-Ribery,fr FRA,FW,Fiorentina,it Serie A,38-021,1983,20.3,780,760,20,6,4,158,27,23,0,0,0,0,631,94,55,97,650,13,9,6,670,3,6,16,20,Matches
2129,Ricard\Ricard,es ESP,DF,Atlético Madrid,es La Liga,21-065,2000,0.3,20,16,4,0,0,1,1,2,0,0,0,0,11,3,6,1,14,1,4,0,14,0,0,0,2,Matches
2130,Federico Ricci\Federico-Ricci,it ITA,FW,Sassuolo,it Serie A,26-336,1994,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0,Matches
2131,Giacomo Ricci\Giacomo-Ricci,it ITA,DF,Parma,it Serie A,24-238,1996,0.7,26,22,4,0,0,1,1,1,0,0,0,0,14,4,8,20,1,0,4,0,19,0,2,0,1,Matches
2132,Matteo Ricci\Matteo-Ricci,it ITA,MF,Spezia,it Serie A,26-336,1994,21.7,1501,1403,98,87,2,177,66,7,10,1,5,1,1025,172,304,152,1290,39,1,4,1282,5,22,36,18,Matches
2133,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,eng Premier League,22-104,1999,29.0,1363,1343,20,17,4,189,55,28,0,0,0,0,1060,126,177,182,1091,57,2,0,1170,3,16,20,19,Matches
2134,Chris Richards\Chris-Richards,us USA,DF,Hoffenheim,de Bundesliga,21-031,2000,10.5,674,658,16,13,1,88,15,0,0,0,0,0,542,48,84,228,397,33,3,3,592,0,14,9,8,Matches
2135,Chris Richards\Chris-Richards,us USA,DF,Bayern Munich,de Bundesliga,21-031,2000,1.0,87,81,6,1,0,6,4,4,0,0,0,0,75,4,8,14,66,1,5,0,79,1,0,1,4,Matches
2136,Lewis Richardson\Lewis-Richardson,eng ENG,FWMF,Burnley,eng Premier League,18-080,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Matches
2137,Richarlison\Richarlison,br BRA,FW,Everton,eng Premier League,23-353,1997,26.0,647,629,18,4,3,167,5,22,1,1,0,0,492,85,70,128,474,22,0,3,443,2,12,29,55,Matches
2138,Marco Richter\Marco-Richter,de GER,FWMF,Augsburg,de Bundesliga,23-155,1997,13.4,392,372,20,5,2,90,12,30,3,2,0,0,228,69,95,120,238,13,6,3,238,7,13,26,34,Matches
2139,Mikel Rico\Mikel-Rico,es ESP,MF,Huesca,es La Liga,36-175,1984,20.6,760,730,30,8,0,158,28,23,3,0,0,0,511,115,134,61,633,39,8,8,585,5,16,21,35,Matches
2140,Sergio Rico\Sergio-Rico,es ESP,GK,Paris S-G,fr Ligue 1,27-239,1993,9.0,216,153,63,9,0,7,1,0,0,0,0,0,175,10,31,35,135,1,0,41,196,0,3,1,0,Matches
2141,Jaïro Riedewald\Jairo-Riedewald,nl NED,MF,Crystal Palace,eng Premier League,24-231,1996,17.3,561,551,10,6,0,81,7,5,0,0,0,0,433,61,67,453,70,28,2,3,481,2,6,12,3,Matches
2142,Emiliano Rigoni\Emiliano-Rigoni,ar ARG,MFFW,Elche,es La Liga,28-083,1993,12.6,407,344,63,16,0,87,23,26,35,12,17,1,269,50,88,250,131,11,10,0,302,1,9,14,9,Matches
2143,Tomás Rincón\Tomas-Rincon,ve VEN,MF,Torino,it Serie A,33-105,1988,27.0,1192,1137,55,46,2,193,51,7,1,1,0,0,868,116,208,132,974,47,3,6,1013,5,10,20,18,Matches
2144,Luis Rioja\Luis-Rioja,es ESP,MFDF,Alavés,es La Liga,27-194,1993,19.9,546,490,56,5,1,100,13,52,8,3,1,2,334,98,114,421,50,21,42,1,370,1,14,20,43,Matches
2145,Renaud Ripart\Renaud-Ripart,fr FRA,MFFW,Nîmes,fr Ligue 1,28-045,1993,29.9,1039,936,103,20,2,210,28,37,1,0,1,0,623,219,197,191,662,50,74,8,709,3,27,39,69,Matches
2146,Andrea Rispoli\Andrea-Rispoli,it ITA,DF,Crotone,it Serie A,32-211,1988,6.7,302,247,55,1,0,42,10,21,4,2,0,0,149,65,88,33,205,10,50,0,210,1,4,8,21,Matches
2147,Mihailo Ristić\Mihailo-Ristic,rs SRB,DF,Montpellier,fr Ligue 1,25-179,1995,22.0,1128,910,218,13,2,120,49,61,0,0,0,0,603,218,307,753,120,34,205,1,887,5,15,16,39,Matches
2148,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,eng Premier League,31-230,1989,10.1,415,329,86,29,0,66,26,41,24,14,10,0,196,71,148,290,61,22,33,1,271,3,13,8,22,Matches
2149,Maxence Rivera\Maxence-Rivera,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18-333,2002,2.4,97,95,2,1,0,11,3,6,0,0,0,0,69,14,14,12,81,3,1,0,71,0,4,6,1,Matches
2150,Emmanuel Rivière\Emmanuel-Riviere,fr FRA,FWMF,Crotone,it Serie A,31-056,1990,6.9,148,144,4,0,0,54,1,1,0,0,0,0,96,32,20,24,104,8,0,1,113,0,0,5,8,Matches
2151,Rober\Rober,es ESP,DFMF,Levante,es La Liga,26-071,1995,10.9,581,556,25,22,0,99,29,0,0,0,0,0,387,66,128,89,450,27,3,1,485,1,12,6,8,Matches
2152,Roberto\Roberto,es ESP,GK,Valladolid,es La Liga,35-077,1986,11.0,353,193,160,63,0,20,6,0,0,0,0,0,81,19,253,9,296,0,0,34,172,1,17,3,0,Matches
2153,Sergi Roberto\Sergi-Roberto,es ESP,DF,Barcelona,es La Liga,29-080,1992,8.7,714,654,60,6,1,59,1,6,0,0,0,0,561,92,61,101,535,20,54,0,638,3,3,8,24,Matches
2154,Tyler Roberts\Tyler-Roberts,wal WAL,MFFW,Leeds United,eng Premier League,22-106,1999,12.7,393,389,4,1,3,67,7,8,0,0,0,0,269,64,60,25,333,16,0,4,281,2,15,24,14,Matches
2155,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,eng Premier League,27-048,1994,32.6,2832,2379,453,63,2,191,92,132,98,21,51,12,1841,501,490,2282,140,92,292,2,2269,7,39,45,88,Matches
2156,Antonee Robinson\Antonee-Robinson,us USA,DF,Fulham,eng Premier League,23-263,1997,22.0,1193,972,221,9,0,131,25,81,1,0,1,0,664,198,331,766,141,49,211,1,871,2,18,38,50,Matches
2157,Callum Robinson\Callum-Robinson,ie IRL,FWMF,West Brom,eng Premier League,26-085,1995,15.8,417,398,19,2,0,88,10,35,0,0,0,0,261,83,73,88,292,19,2,7,290,1,5,15,28,Matches
2158,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,27-239,1993,6.7,319,281,38,5,0,37,4,10,0,0,0,0,210,31,78,216,37,21,33,1,251,0,2,1,5,Matches
2159,Joel Robles\Joel-Robles,es ESP,GK,Betis,es La Liga,30-315,1990,18.0,565,391,174,58,0,31,18,0,0,0,0,0,240,16,309,46,414,1,0,80,355,4,24,5,0,Matches
2160,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FWMF,West Brom,eng Premier League,31-342,1989,3.6,46,42,4,1,0,11,0,3,0,0,0,0,34,7,5,32,12,1,0,1,33,0,2,0,3,Matches
2161,Marc Roca\Marc-Roca,es ESP,MF,Bayern Munich,de Bundesliga,24-153,1996,1.6,103,102,1,0,0,7,3,2,1,0,0,0,85,7,11,83,16,3,0,0,93,0,0,1,1,Matches
2162,Christopher Rocchia\Christopher-Rocchia,fr FRA,DF,Marseille,fr Ligue 1,23-086,1998,0.2,15,10,5,1,0,3,0,0,0,0,0,0,10,2,3,8,2,1,4,0,14,0,0,0,1,Matches
2163,Rubén Rochina\Ruben-Rochina,es ESP,MF,Levante,es La Liga,30-036,1991,15.3,813,757,56,28,2,146,62,27,18,13,2,1,452,109,252,646,118,21,4,7,589,7,33,23,24,Matches
2164,Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,eng Premier League,24-136,1996,1.0,26,20,6,2,0,7,1,0,0,0,0,0,12,0,14,4,19,0,0,3,19,0,0,0,0,Matches
2165,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,de Bundesliga,30-199,1990,17.5,1007,986,21,17,3,162,11,7,2,0,0,0,730,130,147,154,765,56,2,6,846,4,22,14,21,Matches
2166,Joe Rodon\Joe-Rodon,wal WAL,DF,Tottenham,eng Premier League,23-188,1997,8.1,411,405,6,6,0,32,3,0,0,0,0,0,327,31,53,25,349,25,0,1,365,0,7,4,2,Matches
2167,Rodri\Rodri,es ESP,MF,Manchester City,eng Premier League,24-310,1996,26.1,2329,2298,31,31,3,365,78,10,0,0,0,0,1811,190,328,380,1811,75,0,9,2123,0,12,29,19,Matches
2168,Rodrigo\Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,30-053,1991,12.1,502,498,4,0,3,102,14,19,1,1,0,0,327,102,73,389,61,32,2,6,379,0,4,20,19,Matches
2169,Rodrigo\Rodrigo,es ESP,FWMF,Betis,es La Liga,20-347,2000,4.2,202,193,9,4,0,22,4,8,1,1,0,0,157,21,24,173,18,6,4,0,174,0,0,6,6,Matches
2170,Kévin Rodrigues\Kevin-Rodrigues,pt POR,DFMF,Eibar,es La Liga,27-054,1994,11.6,523,435,88,11,0,88,31,37,19,9,8,1,267,84,172,355,75,25,58,2,351,2,15,11,18,Matches
2171,Óscar Rodríguez Arnaiz\Oscar-Rodriguez-Arnaiz,es ESP,MFFW,Sevilla,es La Liga,22-304,1998,4.1,259,231,28,6,2,42,10,16,21,9,8,0,167,29,63,33,209,11,0,1,191,1,5,13,5,Matches
2172,Ángel Rodríguez\Angel-Rodriguez,es ESP,FWMF,Getafe,es La Liga,34-002,1987,13.8,279,267,12,0,0,79,10,13,0,0,0,0,165,59,55,31,205,15,3,5,186,3,10,10,12,Matches
2173,Guido Rodríguez\Guido-Rodriguez,ar ARG,MF,Betis,es La Liga,27-016,1994,26.8,1451,1397,54,48,3,198,51,4,1,1,0,0,1073,158,220,117,1217,83,5,3,1242,3,22,34,30,Matches
2174,James Rodríguez\James-Rodriguez,co COL,FWMF,Everton,eng Premier League,29-290,1991,18.7,1041,916,125,35,6,189,85,32,53,21,23,2,641,157,243,931,63,20,20,2,824,3,17,26,26,Matches
2175,Jay Rodriguez\Jay-Rodriguez,eng ENG,FWMF,Burnley,eng Premier League,31-273,1989,12.9,265,262,3,0,1,70,0,4,0,0,0,0,162,54,49,14,185,20,0,12,196,1,3,6,7,Matches
2176,Miguel Rodríguez\Miguel-Rodriguez,es ESP,FWMF,Celta Vigo,es La Liga,17-364,2003,0.3,16,16,0,0,0,3,1,1,0,0,0,0,9,3,4,9,5,2,0,0,11,0,1,0,3,Matches
2177,Ricardo Rodríguez\Ricardo-Rodriguez,ch SUI,DF,Torino,it Serie A,28-246,1992,13.1,700,627,73,16,1,84,26,8,0,0,0,0,488,79,133,459,157,16,57,3,593,4,5,11,17,Matches
2178,Víctor Rodríguez\Victor-Rodriguez,es ESP,MF,Elche,es La Liga,31-279,1989,4.2,264,254,10,9,1,41,7,1,1,0,1,0,216,23,25,47,212,4,0,0,241,0,2,3,4,Matches
2179,Rodrygo\Rodrygo,br BRA,FW,Real Madrid,es La Liga,20-109,2001,8.7,338,330,8,0,2,56,4,11,2,2,0,0,257,49,32,31,280,9,6,6,266,1,5,11,22,Matches
2180,Marko Rog\Marko-Rog,hr CRO,MF,Cagliari,it Serie A,25-283,1995,12.9,617,593,24,22,1,75,7,6,1,1,0,0,479,62,76,69,518,22,0,3,540,0,7,13,8,Matches
2181,Rogério\Rogerio,br BRA,DF,Sassuolo,it Serie A,23-105,1998,18.4,1130,995,135,21,0,113,16,45,3,3,0,0,811,190,129,917,70,20,111,5,961,0,9,21,22,Matches
2182,Luis Rojas\Luis-Rojas,cl CHI,MFFW,Crotone,it Serie A,19-053,2002,0.8,40,38,2,0,0,10,1,1,0,0,0,0,27,8,5,4,31,1,1,1,31,0,1,2,1,Matches
2183,Alessio Romagnoli\Alessio-Romagnoli,it ITA,DF,Milan,it Serie A,26-106,1995,20.2,961,926,35,33,0,51,11,1,0,0,0,0,783,77,101,798,99,36,2,3,866,3,7,12,6,Matches
2184,Cristian Romero\Cristian-Romero,ar ARG,DF,Atalanta,it Serie A,23-001,1998,23.3,991,940,51,47,2,154,19,0,0,0,0,0,761,136,94,105,777,56,4,2,891,1,6,14,14,Matches
2185,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,eng Premier League,29-216,1991,19.2,1231,1218,13,11,3,244,16,4,1,0,1,0,911,106,214,236,889,64,1,8,1018,1,20,17,21,Matches
2186,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Juventus,it Serie A,36-082,1985,27.4,972,928,44,12,3,173,21,48,3,0,0,0,743,119,110,141,769,21,16,12,762,5,11,34,38,Matches
2187,Facundo Roncaglia\Facundo-Roncaglia,ar ARG,DF,Osasuna,es La Liga,34-077,1987,13.7,560,436,124,21,1,68,26,15,0,0,0,0,227,109,224,77,301,49,103,4,390,4,12,10,21,Matches
2188,Valentin Rongier\Valentin-Rongier,fr FRA,MF,Marseille,fr Ligue 1,26-142,1994,19.0,1250,1224,26,21,2,163,30,5,1,0,0,0,993,145,112,272,908,50,1,3,1083,2,24,19,29,Matches
2189,Marten de Roon\Marten-de-Roon,nl NED,MF,Atalanta,it Serie A,30-030,1991,28.6,1795,1728,67,52,2,193,51,12,2,2,0,0,1348,191,256,226,1419,86,13,3,1552,8,22,21,22,Matches
2190,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,28-112,1993,13.5,671,554,117,6,0,85,18,44,0,0,0,0,370,142,159,457,68,28,111,1,504,1,14,15,23,Matches
2191,Nolan Roux\Nolan-Roux,fr FRA,FW,Nîmes,fr Ligue 1,33-058,1988,7.2,154,139,15,0,0,34,3,5,0,0,0,0,94,30,30,7,122,16,0,4,104,0,3,8,7,Matches
2192,Nicolò Rovella\Nicolo-Rovella,it ITA,MF,Genoa,it Serie A,19-145,2001,9.8,568,543,25,15,0,60,25,6,8,3,5,0,438,40,90,30,518,16,1,0,482,2,6,12,8,Matches
2193,Amir Rrahmani\Amir-Rrahmani,xk KVX,DF,Napoli,it Serie A,27-063,1994,8.2,397,366,31,20,0,32,13,0,0,0,0,0,327,33,37,40,328,19,3,3,364,0,4,5,2,Matches
2194,Rubén\Ruben,es ESP,GKMF,Osasuna,es La Liga,36-310,1984,2.1,61,35,26,10,0,3,0,0,0,0,0,0,7,1,53,4,49,0,0,2,40,0,2,0,0,Matches
2195,Waldo Rubio\Waldo-Rubio,es ESP,FW,Valladolid,es La Liga,25-254,1995,4.2,121,118,3,0,1,27,8,3,0,0,0,0,65,34,22,10,103,4,3,1,82,0,5,4,11,Matches
2196,John Ruddy\John-Ruddy,eng ENG,GK,Wolves,eng Premier League,34-186,1986,0.0,3,0,3,1,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,1,0,1,0,0,Matches
2197,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,eng Premier League,28-056,1993,16.0,1268,1242,26,25,0,96,25,1,0,0,0,0,1074,61,133,338,886,21,1,0,1148,3,15,12,10,Matches
2198,Sebastian Rudy\Sebastian-Rudy,de GER,MFDF,Hoffenheim,de Bundesliga,31-059,1990,18.3,940,805,135,42,0,156,26,41,65,18,29,1,568,165,207,97,757,43,28,1,686,3,18,25,43,Matches
2199,Sebastian Rudy\Sebastian-Rudy,de GER,DF,Schalke 04,de Bundesliga,31-059,1990,2.0,136,107,29,2,0,32,3,3,3,0,1,1,70,37,29,13,91,4,24,0,91,0,1,1,15,Matches
2200,Kevin Rüegg\Kevin-Ruegg,ch SUI,MFDF,Hellas Verona,it Serie A,22-266,1998,1.3,37,30,7,0,0,8,1,1,0,0,0,0,20,6,11,0,26,2,7,0,23,0,3,0,3,Matches
2201,Daniele Rugani\Daniele-Rugani,it ITA,DF,Cagliari,it Serie A,26-273,1994,10.1,431,411,20,17,0,56,2,4,0,0,0,0,294,44,93,68,306,29,3,3,339,1,13,6,5,Matches
2202,Daniele Rugani\Daniele-Rugani,it ITA,DF,Rennes,fr Ligue 1,26-273,1994,1.0,65,63,2,2,0,11,0,0,0,0,0,0,53,5,7,8,52,1,0,0,57,0,0,2,0,Matches
2203,Matteo Ruggeri\Matteo-Ruggeri,it ITA,DF,Atalanta,it Serie A,18-291,2002,2.3,118,107,11,1,0,5,1,8,0,0,0,0,82,19,17,97,8,1,10,0,96,0,1,3,1,Matches
2204,Mário Rui\Mario-Rui,pt POR,DF,Napoli,it Serie A,29-336,1991,18.0,1335,1144,191,54,0,104,33,56,20,10,3,1,864,201,270,1087,93,31,117,3,1090,6,15,39,35,Matches
2205,Aitor Ruibal\Aitor-Ruibal,es ESP,FWMF,Betis,es La Liga,25-037,1996,15.3,506,494,12,2,0,109,4,21,0,0,0,0,400,60,46,53,417,12,10,5,382,1,3,20,34,Matches
2206,Fabián Ruiz Peña\Fabian-Ruiz-Pena,es ESP,MF,Napoli,it Serie A,25-025,1996,23.7,1741,1685,56,49,5,265,86,16,5,3,0,0,1313,220,208,1551,150,23,2,7,1552,4,16,42,32,Matches
2207,Isma Ruiz\Isma-Ruiz,es ESP,MF,Granada,es La Liga,20-073,2001,0.7,21,21,0,0,0,7,1,0,0,0,0,0,10,4,7,0,16,4,0,0,15,0,1,0,0,Matches
2208,Kays Ruiz\Kays-Ruiz,ma MAR,FWMF,Paris S-G,fr Ligue 1,18-245,2002,2.1,181,181,0,0,1,20,2,1,0,0,0,0,161,11,9,19,160,1,0,1,159,1,1,5,2,Matches
2209,Víctor Ruiz\Victor-Ruiz,es ESP,DF,Betis,es La Liga,32-093,1989,19.0,1060,1014,46,41,1,109,31,0,0,0,0,0,842,68,150,769,216,46,3,5,943,3,14,11,4,Matches
2210,Gerónimo Rulli\Geronimo-Rulli,ar ARG,GK,Villarreal,es La Liga,28-343,1992,1.0,45,39,6,1,0,1,6,0,0,0,0,0,34,3,8,14,22,0,0,9,42,0,1,0,0,Matches
2211,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Rennes,fr Ligue 1,19-008,2002,0.5,15,13,2,0,0,6,0,0,0,0,0,0,7,5,3,1,7,5,0,0,9,0,0,0,1,Matches
2212,Georginio Rutter\Georginio-Rutter,fr FRA,FWMF,Hoffenheim,de Bundesliga,19-008,2002,2.3,51,50,1,0,0,19,2,3,0,0,0,0,30,13,8,19,20,2,0,3,41,0,2,1,2,Matches
2213,Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,eng Premier League,29-020,1992,2.0,37,31,6,1,0,1,1,0,0,0,0,0,29,2,6,5,20,2,0,10,35,0,0,0,0,Matches
2214,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,eng Premier League,29-020,1992,11.0,399,315,84,26,0,49,13,0,0,0,0,0,238,15,146,57,275,2,0,56,314,0,15,3,0,Matches
2215,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,de Bundesliga,23-162,1997,10.8,530,427,103,7,0,72,6,15,0,0,0,0,289,135,106,79,315,29,96,2,392,3,14,17,25,Matches
2216,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,de Bundesliga,28-267,1992,10.5,383,270,113,19,0,30,6,0,0,0,0,0,209,26,148,30,274,0,0,64,284,4,13,4,1,Matches
2217,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,de Bundesliga,27-032,1994,4.8,175,172,3,0,0,36,0,3,0,0,0,0,134,27,14,30,126,5,3,4,135,1,1,6,10,Matches
2218,Roli Pereira de Sa\Roli-Pereira-de-Sa,fr FRA,MF,Nantes,fr Ligue 1,24-139,1996,0.2,18,17,1,1,0,2,1,0,0,0,0,0,15,0,3,13,4,1,0,0,15,0,0,1,1,Matches
2219,Idriss Saadi\Idriss-Saadi,dz ALG,FWMF,Strasbourg,fr Ligue 1,29-079,1992,1.4,30,28,2,0,0,13,1,2,0,0,0,0,14,9,7,2,20,1,0,2,18,0,0,1,1,Matches
2220,Youssouf Sabaly\Youssouf-Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,28-054,1993,28.3,1758,1435,323,19,2,196,18,36,0,0,0,0,1132,388,238,210,1167,54,304,4,1486,2,21,31,60,Matches
2221,Marcel Sabitzer\Marcel-Sabitzer,at AUT,MF,RB Leipzig,de Bundesliga,27-042,1994,19.5,1175,1109,66,45,5,190,42,18,0,0,0,0,770,165,240,177,896,61,19,8,936,8,26,25,33,Matches
2222,Alexis Saelemaekers\Alexis-Saelemaekers,be BEL,FW,Milan,it Serie A,21-305,1999,19.3,765,753,12,2,1,109,12,38,4,2,1,1,604,91,70,152,575,19,5,9,602,1,8,21,23,Matches
2223,Modibo Sagnan\Modibo-Sagnan,ml MLI,DFMF,Real Sociedad,es La Liga,22-014,1999,6.3,323,311,12,12,0,33,13,1,0,0,0,0,255,26,42,226,74,14,0,1,278,2,9,5,4,Matches
2224,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,24-047,1997,12.9,313,306,7,0,2,79,5,15,0,0,0,0,252,34,27,26,274,5,3,2,246,1,4,11,16,Matches
2225,Borja Sainz\Borja-Sainz,es ESP,MFFW,Alavés,es La Liga,20-086,2001,4.7,103,100,3,1,0,18,5,11,0,0,0,0,68,16,19,13,84,3,2,1,78,0,3,1,4,Matches
2226,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,eng Premier League,31-033,1990,23.7,1249,1182,67,22,0,105,33,15,0,0,0,0,806,193,250,995,117,64,45,2,1018,1,21,23,22,Matches
2227,Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,eng Premier League,19-235,2001,25.7,1051,946,105,22,3,193,31,76,55,17,17,10,719,139,193,774,204,30,28,6,789,2,17,19,44,Matches
2228,Hiroki Sakai\Hiroki-Sakai,jp JPN,DF,Marseille,fr Ligue 1,31-016,1990,25.2,1395,1112,283,4,0,132,19,30,0,0,0,0,858,333,204,123,883,78,279,1,1147,0,19,29,42,Matches
2229,Moïse Sakava\Moise-Sakava,cm CMR,MF,Reims,fr Ligue 1,20-123,2000,0.1,7,7,0,0,0,1,1,0,0,0,0,0,6,0,1,0,7,0,0,0,7,0,0,0,0,Matches
2230,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,eng Premier League,31-074,1990,3.1,82,72,10,9,0,11,1,0,0,0,0,0,57,8,17,60,16,4,1,0,72,0,1,0,0,Matches
2231,Jacopo Sala\Jacopo-Sala,it ITA,DF,Spezia,it Serie A,29-144,1991,4.2,275,228,47,6,0,16,4,9,1,0,0,0,179,53,43,18,204,11,40,1,235,0,2,3,3,Matches
2232,Mohamed Salah\Mohamed-Salah,eg EGY,FW,Liverpool,eng Premier League,28-317,1992,29.3,1143,1117,26,2,6,192,14,39,0,0,0,0,935,106,102,906,197,18,4,7,954,2,5,29,44,Matches
2233,Eddy Salcedo\Eddy-Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,19-209,2001,6.5,210,201,9,0,2,59,0,7,1,0,0,0,123,55,32,16,152,12,7,8,148,0,6,4,17,Matches
2234,William Saliba\William-Saliba,fr FRA,DF,Nice,fr Ligue 1,20-035,2001,16.0,1084,1054,30,28,0,104,41,0,0,0,0,0,922,65,97,85,964,18,2,2,996,1,10,16,12,Matches
2235,Romain Salin\Romain-Salin,fr FRA,GK,Rennes,fr Ligue 1,36-273,1984,15.0,544,381,163,40,0,30,12,0,0,0,0,0,304,21,219,350,99,3,0,76,409,0,10,2,0,Matches
2236,Mohammed Salisu\Mohammed-Salisu,gh GHA,DF,Southampton,eng Premier League,22-011,1999,5.0,204,183,21,2,0,33,1,2,0,0,0,0,132,36,36,133,33,12,19,1,163,0,2,6,7,Matches
2237,Roland Sallai\Roland-Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,23-341,1997,16.2,436,429,7,4,1,105,8,37,0,0,0,0,263,92,81,90,297,12,1,5,311,2,8,10,23,Matches
2238,Salvi\Salvi,es ESP,MFFW,Cádiz,es La Liga,30-029,1991,20.8,569,481,88,13,0,87,19,81,24,5,17,0,260,138,171,54,424,24,51,4,320,2,8,19,51,Matches
2239,Lazar Samardzic\Lazar-Samardzic,de GER,MFFW,RB Leipzig,de Bundesliga,19-063,2002,2.2,69,68,1,1,1,25,0,0,0,0,0,0,46,13,10,51,13,4,0,0,52,0,0,2,1,Matches
2240,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,de Bundesliga,25-107,1996,25.9,1241,1220,21,20,3,218,28,7,0,0,0,0,901,147,193,126,993,87,1,9,1034,0,25,27,27,Matches
2241,Mama Samba Baldé\Mama-Samba-Balde,gw GNB,FW,Dijon,fr Ligue 1,25-173,1995,21.9,448,418,30,2,0,135,5,9,0,0,0,0,297,97,54,71,285,27,4,18,309,0,5,20,30,Matches
2242,Junior Sambia\Junior-Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,24-233,1996,25.0,1234,992,242,10,5,128,36,61,2,0,2,0,714,272,248,142,816,30,229,1,976,1,23,42,29,Matches
2243,Frédéric Sammaritano\Frederic-Sammaritano,fr FRA,FWMF,Dijon,fr Ligue 1,35-036,1986,11.3,454,403,51,26,2,67,25,31,22,15,5,0,301,57,96,79,357,10,1,5,337,3,8,7,21,Matches
2244,Fede San Emeterio\Fede-San-Emeterio,es ESP,MF,Valladolid,es La Liga,24-043,1997,13.2,419,411,8,7,0,67,13,1,0,0,0,0,251,68,100,32,329,34,1,4,322,1,6,8,8,Matches
2245,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Torino,it Serie A,25-055,1996,6.6,153,145,8,1,0,45,5,1,0,0,0,0,118,17,18,39,93,8,0,3,125,0,3,8,5,Matches
2246,Antonio Sanabria\Antonio-Sanabria,py PAR,FW,Betis,es La Liga,25-055,1996,10.4,215,195,20,0,1,57,3,1,0,0,0,0,140,36,39,40,133,13,0,0,161,1,3,6,7,Matches
