,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
2438,Suso\Suso,es ESP,FW,Sevilla,es La Liga,27-160,1993,20.4,1214,9,128,521,649,55,1159,43,57,75.4,45,2,993,4871,2522,153,39,18,42,39,1162,991,85.3,148,Matches
2439,Bosko Sutalo\Bosko-Sutalo,hr CRO,DF,Atalanta,it Serie A,21-117,2000,2.6,187,8,71,92,39,3,180,1,2,50.0,1,0,130,630,351,9,5,0,3,4,127,121,95.3,2,Matches
2440,Mattias Svanberg\Mattias-Svanberg,se SWE,MF,Bologna,it Serie A,22-113,1999,17.5,775,35,194,422,218,24,764,20,31,64.5,20,1,503,2671,1473,51,20,1,13,25,530,470,88.7,37,Matches
2441,Abdoulaye Sylla\Abdoulaye-Sylla,gn GUI,DF,Nantes,fr Ligue 1,21-018,2000,0.1,9,1,3,4,2,0,6,0,0,,0,0,1,14,9,1,0,0,0,0,2,1,50.0,0,Matches
2442,Issiaga Sylla\Issiaga-Sylla,gn GUI,DF,Lens,fr Ligue 1,27-117,1994,12.4,843,31,176,444,281,19,700,22,37,59.5,22,0,466,2315,1321,66,26,2,14,17,577,479,83.0,48,Matches
2443,Eddy Sylvestre\Eddy-Sylvestre,fr FRA,FWMF,Nice,fr Ligue 1,21-242,1999,1.1,47,0,5,25,20,2,44,1,2,50.0,1,0,34,105,45,4,1,0,2,2,50,38,76.0,5,Matches
2444,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,de Bundesliga,33-140,1987,6.9,286,4,30,123,143,43,283,9,15,60.0,10,2,164,433,192,9,3,2,31,19,437,209,47.8,45,Matches
2445,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,31-010,1990,26.0,943,821,933,10,0,0,757,2,2,100.0,2,0,517,2358,1296,0,0,0,0,0,526,526,100.0,0,Matches
2446,Frederik Sørensen\Frederik-Sorensen,dk DEN,DF,Köln,de Bundesliga,29-014,1992,1.1,58,4,23,35,3,2,55,2,2,100.0,2,0,28,88,38,2,0,0,0,0,37,33,89.2,2,Matches
2447,Alexander Sørloth\Alexander-Sorloth,no NOR,FW,RB Leipzig,de Bundesliga,25-144,1995,16.0,679,11,38,303,385,117,659,20,32,62.5,22,1,433,2268,1279,75,27,20,36,47,859,530,61.7,160,Matches
2448,Tachi\Tachi,es ESP,DF,Alavés,es La Liga,23-230,1997,8.4,410,55,220,202,15,7,377,1,1,100.0,1,0,197,1017,630,14,0,0,2,0,243,236,97.1,0,Matches
2449,Jonathan Tah\Jonathan-Tah,de GER,DF,Leverkusen,de Bundesliga,25-076,1996,21.7,1988,186,925,1157,71,19,1947,4,5,80.0,4,0,1373,7875,3747,74,8,1,6,12,1433,1406,98.1,6,Matches
2450,Waniss Taibi\Waniss-Taibi,fr FRA,MF,Angers,fr Ligue 1,19-052,2002,0.3,14,0,2,11,2,1,14,0,0,,0,0,13,71,53,2,0,0,0,0,15,14,93.3,1,Matches
2451,Flavien Tait\Flavien-Tait,fr FRA,MFFW,Rennes,fr Ligue 1,28-085,1993,12.3,816,11,114,464,303,49,792,21,38,55.3,21,0,610,3265,1887,113,34,9,17,26,721,615,85.3,74,Matches
2452,Adrien Tameze\Adrien-Tameze,cm CMR,MF,Hellas Verona,it Serie A,27-083,1994,24.5,1248,56,284,734,299,22,1218,34,47,72.3,36,2,779,3923,1906,84,28,3,26,28,858,719,83.8,73,Matches
2453,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,eng Premier League,22-028,1999,3.5,163,15,67,76,29,2,141,8,10,80.0,8,1,93,330,182,4,2,0,0,2,98,86,87.8,2,Matches
2454,Renato Tapia\Renato-Tapia,pe PER,MF,Celta Vigo,es La Liga,25-274,1995,29.7,1922,111,681,1181,183,17,1886,25,28,89.3,25,1,1176,5540,3091,101,31,0,10,28,1266,1199,94.7,16,Matches
2455,Edmond Tapsoba\Edmond-Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,22-085,1999,27.5,2944,297,1524,1586,120,22,2864,17,24,70.8,17,0,2201,12582,7298,142,32,0,9,13,2204,2165,98.2,7,Matches
2456,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,eng Premier League,25-222,1995,31.8,2126,140,640,927,642,38,1767,15,18,83.3,15,1,1071,3891,2023,94,26,2,13,12,1227,1131,92.2,71,Matches
2457,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,eng Premier League,28-160,1992,31.0,1386,217,748,586,106,64,1354,10,11,90.9,11,0,550,2831,1440,32,3,1,12,6,699,652,93.3,16,Matches
2458,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-078,1986,1.0,30,26,30,0,0,0,26,0,0,,0,0,15,63,29,0,0,0,0,0,14,14,100.0,0,Matches
2459,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,eng Premier League,26-350,1994,0.9,32,1,4,18,12,4,31,2,2,100.0,2,0,22,132,68,2,0,1,5,1,49,23,46.9,8,Matches
2460,Niklas Tauer\Niklas-Tauer,de GER,MFDF,Mainz 05,de Bundesliga,20-070,2001,0.8,37,3,9,20,8,1,32,0,0,,0,0,11,51,26,2,0,0,0,0,15,10,66.7,1,Matches
2461,Heriberto Tavares\Heriberto-Tavares,pt POR,MFFW,Brest,fr Ligue 1,24-068,1997,0.5,20,0,2,11,8,2,19,0,1,0.0,1,0,12,30,9,1,0,0,2,1,16,14,87.5,2,Matches
2462,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,eng Premier League,19-211,2001,0.9,38,0,8,24,10,1,37,1,1,100.0,1,0,28,139,54,2,1,0,1,3,37,30,81.1,7,Matches
2463,Tomás Tavares\Tomas-Tavares,pt POR,MFDF,Alavés,es La Liga,20-052,2001,0.7,24,1,4,10,11,1,23,0,0,,0,0,18,95,52,1,1,0,0,0,20,15,75.0,3,Matches
2464,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,eng Premier League,27-222,1993,22.0,1278,103,421,637,314,9,1081,20,34,58.8,21,0,664,4464,1917,89,39,2,11,8,729,668,91.6,19,Matches
2465,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,eng Premier League,32-080,1989,0.2,12,1,4,6,2,0,11,0,0,,0,0,7,14,9,1,0,0,0,0,8,8,100.0,0,Matches
2466,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,eng Premier League,19-128,2001,0.1,2,1,2,0,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,Matches
2467,Warren Tchimbembé\Warren-Tchimbembe,fr FRA,MFFW,Metz,fr Ligue 1,23-007,1998,5.5,299,9,85,186,53,6,292,2,3,66.7,2,0,200,1149,608,23,11,0,7,8,261,216,82.8,11,Matches
2468,Aurélien Tchouaméni\Aurelien-Tchouameni,fr FRA,MF,Monaco,fr Ligue 1,21-091,2000,30.0,2036,68,433,1347,387,50,2003,30,38,78.9,31,1,1335,7055,3168,132,40,3,21,38,1433,1333,93.0,57,Matches
2469,Álvaro Tejero\Alvaro-Tejero,es ESP,DF,Eibar,es La Liga,24-282,1996,1.2,114,4,27,55,35,1,94,0,0,,0,0,62,255,159,7,2,0,1,0,67,66,98.5,4,Matches
2470,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,eng Premier League,21-297,1999,5.9,205,1,27,98,96,17,202,12,16,75.0,13,0,154,790,406,22,7,5,23,18,223,124,55.6,23,Matches
2471,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,eng Premier League,28-134,1992,5.7,506,21,126,237,168,2,427,1,2,50.0,1,0,290,1496,922,35,9,0,4,7,356,332,93.3,12,Matches
2472,Andrés Tello\Andres-Tello,co COL,MFDF,Benevento,it Serie A,24-234,1996,4.1,219,14,64,93,68,10,204,3,6,50.0,4,0,115,547,335,14,2,3,9,3,156,125,80.1,11,Matches
2473,Cristian Tello\Cristian-Tello,es ESP,FWMF,Betis,es La Liga,29-260,1991,12.6,593,6,71,272,295,56,580,15,31,48.4,19,3,438,2505,1514,78,24,19,25,10,559,443,79.2,67,Matches
2474,Lino Tempelmann\Lino-Tempelmann,de GER,MFDF,Freiburg,de Bundesliga,22-085,1999,3.0,192,11,58,92,51,2,184,2,3,66.7,2,0,117,567,177,8,2,0,1,2,117,111,94.9,5,Matches
2475,Hidde ter Avest\Hidde-ter-Avest,nl NED,DF,Udinese,it Serie A,23-343,1997,3.9,234,7,63,96,85,6,206,3,4,75.0,3,0,153,567,288,15,6,1,4,0,169,152,89.9,12,Matches
2476,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,28-363,1992,26.0,946,839,941,5,1,1,778,0,1,0.0,1,0,566,2096,1225,0,0,0,0,0,555,552,99.5,0,Matches
2477,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-051,1990,0.5,20,17,20,0,0,0,13,0,0,,0,0,9,92,59,0,0,0,0,0,9,8,88.9,0,Matches
2478,Martin Terrier\Martin-Terrier,fr FRA,FWMF,Rennes,fr Ligue 1,24-055,1997,23.7,996,6,75,451,530,126,973,25,44,56.8,26,0,641,3257,1848,92,33,18,56,34,1133,758,66.9,218,Matches
2479,Claudio Terzi\Claudio-Terzi,it ITA,DF,Spezia,it Serie A,36-313,1984,17.8,1362,142,679,746,56,7,1303,3,5,60.0,4,0,857,6461,3557,92,18,0,2,2,979,959,98.0,0,Matches
2480,Kenny Tete\Kenny-Tete,nl NED,DF,Lyon,fr Ligue 1,25-201,1995,0.2,31,1,10,12,10,1,27,0,0,,0,0,20,82,21,1,0,1,1,2,19,19,100.0,2,Matches
2481,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,eng Premier League,25-201,1995,13.8,860,52,281,369,250,17,758,3,14,21.4,5,3,477,2313,1100,48,19,2,17,7,519,453,87.3,37,Matches
2482,Cedric Teuchert\Cedric-Teuchert,de GER,FWMF,Union Berlin,de Bundesliga,24-104,1997,8.1,331,5,42,168,145,32,323,10,24,41.7,11,2,206,1060,737,32,15,8,23,21,365,222,60.8,57,Matches
2483,Florian Thauvin\Florian-Thauvin,fr FRA,FWMF,Marseille,fr Ligue 1,28-092,1993,27.5,1639,17,170,781,815,115,1506,55,94,58.5,57,4,1157,6618,3979,230,69,33,63,70,1626,1248,76.8,185,Matches
2484,Malick Thiaw\Malick-Thiaw,de GER,DF,Schalke 04,de Bundesliga,19-263,2001,16.1,960,177,595,369,47,14,915,2,3,66.7,2,0,528,2513,1098,13,3,0,6,6,629,589,93.6,8,Matches
2485,Jan Thielmann\Jan-Thielmann,de GER,FWMF,Köln,de Bundesliga,18-337,2002,10.5,428,5,65,195,195,16,414,4,7,57.1,5,0,282,1456,718,38,10,2,28,17,477,281,58.9,41,Matches
2486,Sada Thioub\Sada-Thioub,sn SEN,FWMF,Angers,fr Ligue 1,25-331,1995,12.1,727,12,128,356,320,50,713,36,65,55.4,38,1,596,3615,2121,110,33,11,39,41,685,557,81.3,96,Matches
2487,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,eng Premier League,19-322,2001,6.8,401,27,97,190,132,6,363,7,11,63.6,7,1,241,918,456,25,5,3,8,10,275,233,84.7,15,Matches
2488,Romain Thomas\Romain-Thomas,fr FRA,DF,Angers,fr Ligue 1,32-320,1988,29.6,1729,258,1024,768,26,21,1671,4,5,80.0,4,0,968,4358,2054,25,1,0,7,6,1089,1039,95.4,6,Matches
2489,Adrien Thomasson\Adrien-Thomasson,fr FRA,MF,Strasbourg,fr Ligue 1,27-139,1993,26.2,1356,7,162,673,585,122,1317,24,54,44.4,26,2,944,3835,1581,80,23,12,48,54,1300,956,73.5,158,Matches
2490,Erik Thommy\Erik-Thommy,de GER,FWDF,Stuttgart,de Bundesliga,26-251,1994,2.5,142,1,18,67,71,10,133,3,6,50.0,3,0,99,693,373,18,5,4,9,4,140,105,75.0,18,Matches
2491,Morten Thorsby\Morten-Thorsby,no NOR,MF,Sampdoria,it Serie A,24-358,1996,26.9,1190,63,307,669,255,51,1165,12,17,70.6,12,1,569,2475,1264,63,19,4,25,23,954,695,72.9,52,Matches
2492,Marcus Thuram\Marcus-Thuram,fr FRA,FW,M'Gladbach,de Bundesliga,23-265,1997,16.9,793,21,104,410,341,101,782,33,51,64.7,33,0,526,2726,1713,87,28,29,49,45,873,576,66.0,136,Matches
2493,Khéphren Thuram-Ulie\Khephren-Thuram-Ulie,fr FRA,MF,Nice,fr Ligue 1,20-033,2001,14.7,975,42,273,633,145,11,959,14,17,82.4,15,0,644,3816,2037,65,20,2,9,9,790,734,92.9,20,Matches
2494,Cheikh Tidiane Sabaly\Cheikh-Tidiane-Sabaly,sn SEN,MF,Metz,fr Ligue 1,22-055,1999,0.1,8,0,1,3,6,0,8,0,0,,0,0,8,34,19,1,1,0,1,1,7,7,100.0,1,Matches
2495,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,eng Premier League,23-356,1997,32.3,2515,47,546,1496,613,39,2387,37,54,68.5,42,7,1643,6349,3574,130,40,8,21,42,1936,1823,94.2,63,Matches
2496,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,eng Premier League,23-327,1997,22.4,1568,100,482,651,547,45,1372,22,36,61.1,24,0,1001,5005,3108,135,48,17,15,13,1120,1015,90.6,78,Matches
2497,Steffen Tigges\Steffen-Tigges,de GER,FW,Dortmund,de Bundesliga,22-271,1998,0.6,34,1,4,19,12,4,32,0,0,,0,0,12,57,31,3,0,0,1,1,35,18,51.4,2,Matches
2498,Guus Til\Guus-Til,nl NED,FW,Freiburg,de Bundesliga,23-127,1997,1.3,50,1,8,21,21,7,50,0,0,,0,0,36,152,67,5,0,0,5,3,64,36,56.3,13,Matches
2499,David Timor\David-Timor,es ESP,MFDF,Getafe,es La Liga,31-193,1989,12.5,648,40,159,369,142,5,582,2,3,66.7,2,0,270,1437,728,37,7,1,4,3,330,311,94.2,6,Matches
2500,Jean-Clair Todibo\Jean-Clair-Todibo,fr FRA,DF,Nice,fr Ligue 1,21-119,1999,10.8,854,128,515,390,22,12,830,10,15,66.7,10,1,621,4657,2668,59,3,0,4,4,634,624,98.4,2,Matches
2501,Karl Toko Ekambi\Karl-Toko-Ekambi,cm CMR,FW,Lyon,fr Ligue 1,28-226,1992,27.4,1176,10,120,565,601,170,1164,56,84,66.7,60,6,869,5867,3641,194,66,41,58,42,1337,953,71.3,231,Matches
2502,Corentin Tolisso\Corentin-Tolisso,fr FRA,MF,Bayern Munich,de Bundesliga,26-268,1994,8.1,588,17,113,372,137,22,572,6,8,75.0,6,0,414,2020,964,40,10,2,9,7,500,438,87.6,29,Matches
2503,Jeremy Toljan\Jeremy-Toljan,de GER,DF,Sassuolo,it Serie A,26-263,1994,13.7,856,60,253,421,243,33,763,6,13,46.2,8,0,549,2701,1358,48,21,4,12,10,633,572,90.4,49,Matches
2504,Rafael Tolói\Rafael-Toloi,it ITA,DF,Atalanta,it Serie A,30-200,1990,25.4,1739,108,571,905,380,48,1671,11,22,50.0,11,0,1174,5829,3236,135,40,4,14,15,1244,1179,94.8,32,Matches
2505,Takehiro Tomiyasu\Takehiro-Tomiyasu,jp JPN,DF,Bologna,it Serie A,22-174,1998,25.4,1653,158,660,902,223,22,1509,16,25,64.0,17,1,924,6318,3594,105,32,1,18,13,1040,979,94.1,17,Matches
2506,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,32-030,1989,4.3,174,43,124,50,4,4,169,0,0,,0,0,77,287,155,2,0,0,0,0,97,91,93.8,1,Matches
2507,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,eng Premier League,23-130,1997,0.5,41,19,36,6,0,0,40,0,0,,0,0,21,90,38,0,0,0,0,0,21,21,100.0,0,Matches
2508,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Milan,it Serie A,23-130,1997,11.3,774,110,474,327,20,5,745,4,5,80.0,5,0,467,2446,1153,18,5,0,1,2,518,507,97.9,1,Matches
2509,Sandro Tonali\Sandro-Tonali,it ITA,MF,Milan,it Serie A,20-355,2000,14.3,870,37,238,504,188,11,830,6,10,60.0,6,0,546,2870,1527,52,18,1,10,11,609,571,93.8,17,Matches
2510,Lorenzo Tonelli\Lorenzo-Tonelli,it ITA,DF,Sampdoria,it Serie A,31-101,1990,17.3,942,178,527,420,31,14,888,0,1,0.0,0,0,466,2077,1056,20,1,0,4,4,527,509,96.6,2,Matches
2511,Toño\Tono,es ESP,DF,Levante,es La Liga,31-172,1989,6.4,380,20,135,157,109,6,322,9,13,69.2,10,0,253,1113,639,33,11,2,6,8,271,240,88.6,26,Matches
2512,Ömer Toprak\Omer-Toprak,tr TUR,DF,Werder Bremen,de Bundesliga,31-281,1989,20.1,1202,206,666,567,37,15,1139,10,15,66.7,13,0,671,4099,1782,34,4,0,2,12,684,664,97.1,1,Matches
2513,Tyron Tormin\Tyron-Tormin,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,19-303,2001,0.2,10,0,2,7,1,0,10,0,0,,0,0,5,21,5,0,0,0,0,0,17,7,41.2,0,Matches
2514,Ernesto Torregrossa\Ernesto-Torregrossa,it ITA,FW,Sampdoria,it Serie A,28-304,1992,1.8,70,1,5,23,43,11,67,2,6,33.3,3,0,43,156,63,3,1,1,5,7,98,48,49.0,15,Matches
2515,Lucas Torreira\Lucas-Torreira,uy URU,MFFW,Atlético Madrid,es La Liga,25-076,1996,5.8,372,16,103,237,43,5,370,1,1,100.0,1,0,220,971,484,19,3,2,2,8,278,261,93.9,5,Matches
2516,Ferrán Torres\Ferran-Torres,es ESP,FW,Manchester City,eng Premier League,21-058,2000,11.4,466,9,40,156,303,55,462,16,39,41.0,17,0,371,1766,970,62,13,13,16,28,517,367,71.0,68,Matches
2517,Óliver Torres\Oliver-Torres,es ESP,MFFW,Sevilla,es La Liga,26-169,1994,14.2,1061,6,142,645,341,30,1019,23,29,79.3,25,0,802,3787,1750,79,29,3,18,25,932,830,89.1,76,Matches
2518,Pau Torres\Pau-Torres,es ESP,DF,Villarreal,es La Liga,24-102,1997,29.0,2083,307,1148,1055,79,17,2022,25,29,86.2,27,0,1473,10011,6580,157,32,0,11,10,1552,1527,98.4,2,Matches
2519,Roberto Torres\Roberto-Torres,es ESP,MFFW,Osasuna,es La Liga,32-052,1989,17.7,786,24,135,372,317,41,707,22,39,56.4,25,4,492,2056,1146,49,18,1,20,15,681,508,74.6,59,Matches
2520,Lucas Torró\Lucas-Torro,es ESP,MF,Osasuna,es La Liga,26-283,1994,13.8,675,59,164,403,128,24,670,11,14,78.6,12,0,342,1274,465,19,3,1,11,12,462,364,78.8,17,Matches
2521,Jordan Torunarigha\Jordan-Torunarigha,de GER,DF,Hertha BSC,de Bundesliga,23-264,1997,8.6,643,75,408,272,19,6,637,4,5,80.0,4,0,438,2517,1489,27,2,1,3,6,468,464,99.1,1,Matches
2522,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,eng Premier League,29-325,1991,0.5,14,0,1,5,10,2,13,0,0,,0,0,11,44,15,1,2,1,4,0,22,13,59.1,4,Matches
2523,Abdoulaye Touré\Abdoulaye-Toure,fr FRA,MF,Nantes,fr Ligue 1,27-056,1994,18.7,1145,37,203,770,236,21,1140,17,32,53.1,20,3,749,3216,1560,75,28,0,20,20,905,823,90.9,27,Matches
2524,Almamy Touré\Almamy-Toure,ml MLI,DF,Eint Frankfurt,de Bundesliga,25-000,1996,7.7,432,26,104,171,184,25,401,13,19,68.4,14,2,247,1038,625,34,13,0,17,10,340,268,78.8,41,Matches
2525,Lucas Tousart\Lucas-Tousart,fr FRA,MF,Hertha BSC,de Bundesliga,23-364,1997,20.8,1013,69,327,604,135,19,1001,12,19,63.2,16,0,587,3500,1794,68,19,4,16,16,630,530,84.1,27,Matches
2526,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,eng Premier League,29-286,1991,20.4,993,23,224,465,424,27,932,34,54,63.0,37,0,694,4763,2488,106,52,8,31,52,767,589,76.8,56,Matches
2527,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,eng Premier League,28-055,1993,19.8,1182,82,371,586,279,24,998,10,21,47.6,10,0,613,2820,1640,55,13,4,23,13,734,671,91.4,26,Matches
2528,Mattéo Tramoni\Matteo-Tramoni,fr FRA,FWMF,Cagliari,it Serie A,21-098,2000,0.8,34,1,11,12,11,0,34,0,2,0.0,0,0,20,42,15,0,0,0,2,4,17,13,76.5,2,Matches
2529,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,eng Premier League,25-093,1996,25.8,1144,16,116,613,570,86,1120,141,185,76.2,151,4,983,7552,4980,265,79,46,72,72,1264,891,70.5,124,Matches
2530,Amadou Traore\Amadou-Traore,fr FRA,MFFW,Bordeaux,fr Ligue 1,19-052,2002,2.4,134,2,22,50,72,15,126,7,14,50.0,7,0,104,686,453,27,4,8,11,14,135,95,70.4,18,Matches
2531,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,eng Premier League,25-234,1995,20.5,913,23,123,368,471,75,841,41,75,54.7,45,5,612,3097,1365,70,16,10,38,29,836,620,74.2,78,Matches
2532,Chaka Traorè\Chaka-Traore,ci CIV,MFDF,Parma,it Serie A,16-126,2004,0.1,9,0,0,5,7,3,9,0,1,0.0,0,0,6,48,37,2,3,0,0,1,10,9,90.0,3,Matches
2533,Charles Traore\Charles-Traore,ml MLI,DF,Nantes,fr Ligue 1,29-117,1992,18.8,1187,65,380,611,250,10,985,7,17,41.2,9,0,551,2317,1391,60,16,4,14,15,630,576,91.4,13,Matches
2534,Cheick Traoré\Cheick-Traore,ml MLI,DF,Lens,fr Ligue 1,26-028,1995,0.2,6,1,3,3,0,0,5,1,1,100.0,1,0,3,10,1,0,0,0,0,0,1,1,100.0,0,Matches
2535,Hamari Traoré\Hamari-Traore,ml MLI,DF,Rennes,fr Ligue 1,29-091,1992,29.5,2440,54,488,1373,727,46,2098,19,25,76.0,21,0,1469,7152,4135,221,75,11,19,15,1682,1561,92.8,96,Matches
2536,Ibrahima Traoré\Ibrahima-Traore,gn GUI,FWDF,M'Gladbach,de Bundesliga,33-007,1988,1.1,63,0,13,21,30,4,59,1,3,33.3,2,1,36,131,77,8,1,2,0,2,55,42,76.4,8,Matches
2537,Ismaël Traoré\Ismael-Traore,ci CIV,DF,Angers,fr Ligue 1,34-253,1986,33.0,1977,228,1061,952,82,25,1911,14,17,82.4,14,0,1342,6013,2914,64,14,1,8,4,1339,1310,97.8,10,Matches
2538,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-294,1990,31.0,1391,1166,1387,5,0,0,1070,0,0,,0,0,671,3126,1599,0,0,0,0,0,712,710,99.7,0,Matches
2539,Miguel Trauco\Miguel-Trauco,pe PER,DF,Saint-Étienne,fr Ligue 1,28-246,1992,20.6,1493,49,479,732,361,13,1234,10,28,35.7,12,3,867,3351,1811,61,21,2,15,16,921,849,92.2,23,Matches
2540,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,eng Premier League,26-209,1994,13.0,519,19,103,204,259,74,517,27,39,69.2,29,3,344,1927,1168,62,20,14,27,14,524,328,62.6,64,Matches
2541,Manu Trigueros\Manu-Trigueros,es ESP,MF,Villarreal,es La Liga,29-193,1991,24.1,1663,32,293,1028,439,31,1632,20,26,76.9,21,1,1253,4959,2265,96,33,1,27,36,1500,1300,86.7,90,Matches
2542,Christopher Trimmel\Christopher-Trimmel,at AUT,DF,Union Berlin,de Bundesliga,34-063,1987,26.0,1691,112,551,707,525,13,1301,10,17,58.8,13,1,777,4703,2456,96,44,2,14,18,928,813,87.6,38,Matches
2543,Francisco Trincão\Francisco-Trincao,pt POR,FWMF,Barcelona,es La Liga,21-120,1999,7.0,453,6,49,162,277,55,442,18,31,58.1,18,0,367,2305,1282,67,12,8,12,20,467,379,81.2,71,Matches
2544,Alessandro Tripaldelli\Alessandro-Tripaldelli,it ITA,DF,Cagliari,it Serie A,22-078,1999,3.3,172,12,59,72,47,3,139,2,6,33.3,2,0,83,427,226,14,5,1,3,6,95,81,85.3,11,Matches
2545,Kieran Trippier\Kieran-Trippier,eng ENG,DF,Atlético Madrid,es La Liga,30-221,1990,22.5,1698,72,461,737,571,14,1480,14,19,73.7,14,4,1024,3489,1922,74,28,2,13,10,1168,1081,92.6,73,Matches
2546,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,eng Premier League,26-145,1994,25.3,1264,7,127,547,691,112,1202,38,62,61.3,39,3,977,5461,2704,143,42,17,48,64,1237,904,73.1,199,Matches
2547,Alexis Trouillet\Alexis-Trouillet,fr FRA,MF,Nice,fr Ligue 1,20-126,2000,1.2,90,2,12,62,26,4,88,1,2,50.0,1,0,70,364,209,9,4,1,3,3,74,65,87.8,10,Matches
2548,Adrien Truffert\Adrien-Truffert,fr FRA,DFMF,Rennes,fr Ligue 1,19-159,2001,20.8,1452,46,333,704,495,45,1278,15,32,46.9,20,1,918,4507,2437,135,31,9,21,23,1048,936,89.3,59,Matches
2549,Marvin Tshibuabua\Marvin-Tshibuabua,fr FRA,DF,Saint-Étienne,fr Ligue 1,19-110,2002,0.5,27,5,19,5,3,2,27,1,1,100.0,1,0,8,44,39,0,0,0,1,0,15,14,93.3,0,Matches
2550,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,eng Premier League,24-351,1996,0.1,10,0,1,3,6,0,8,0,0,,0,0,8,29,12,2,0,0,1,1,11,8,72.7,1,Matches
2551,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,eng Premier League,23-165,1997,1.5,136,12,53,77,12,0,129,0,1,0.0,0,0,88,486,280,11,2,0,2,1,93,92,98.9,0,Matches
2552,Alessandro Tuia\Alessandro-Tuia,it ITA,DF,Benevento,it Serie A,30-324,1990,18.0,930,157,550,387,43,12,864,4,6,66.7,4,0,489,2744,1502,29,2,0,6,3,557,548,98.4,0,Matches
2553,Ľubomír Tupta\Lubomir-Tupta,sk SVK,MF,Hellas Verona,it Serie A,23-032,1998,0.6,13,0,1,4,8,3,13,0,0,,0,0,9,67,15,1,0,0,0,1,20,11,55.0,7,Matches
2554,Tuta\Tuta,br BRA,DF,Eint Frankfurt,de Bundesliga,21-298,1999,14.4,1006,121,484,521,77,7,973,6,7,85.7,6,0,656,3303,1800,52,17,1,6,10,651,635,97.5,5,Matches
2555,Iyenoma Udogie\Iyenoma-Udogie,it ITA,DFMF,Hellas Verona,it Serie A,18-151,2002,1.3,117,6,32,60,28,1,107,0,1,0.0,1,0,79,382,130,6,0,0,1,1,80,71,88.8,3,Matches
2556,Matthieu Udol\Matthieu-Udol,fr FRA,DF,Metz,fr Ligue 1,25-039,1996,17.1,1046,44,327,494,295,19,873,24,34,70.6,25,2,593,3436,2157,95,39,8,22,22,631,577,91.4,27,Matches
2557,Naomichi Ueda\Naomichi-Ueda,jp JPN,DF,Nîmes,fr Ligue 1,26-186,1994,4.1,202,38,133,80,5,2,193,1,1,100.0,1,0,125,919,538,19,0,0,2,0,123,119,96.7,0,Matches
2558,Chimuanya Ugochukwu\Chimuanya-Ugochukwu,fr FRA,MF,Rennes,fr Ligue 1,17-033,2004,0.0,7,0,2,5,1,1,7,0,0,,0,0,5,20,7,0,0,0,0,0,7,7,100.0,0,Matches
