,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
24,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-082,2000,0.1,2,0,1,2,0,0,2,0,1,0.0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0,Matches
25,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-115,1987,3.0,113,102,113,0,0,0,84,0,0,,0,0,50,162,74,0,0,0,0,0,47,46,97.9,0,Matches
26,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-353,1996,14.3,713,40,251,370,119,6,576,2,5,40.0,2,0,347,1385,717,29,6,2,8,6,422,355,84.1,15,Matches
27,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-078,2002,8.1,511,28,152,320,64,1,500,3,5,60.0,3,0,326,1470,514,14,2,1,2,9,354,332,93.8,8,Matches
28,Felix Agu\Felix-Agu,de GER,DF,Werder Bremen,de Bundesliga,21-213,1999,7.7,416,20,162,177,91,8,353,4,12,33.3,4,0,209,849,488,15,5,0,12,12,245,190,77.6,23,Matches
29,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-165,1998,12.9,481,4,56,243,244,50,469,37,60,61.7,40,2,354,2399,1479,63,33,13,30,31,503,322,64.0,73,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-029,1996,31.0,2677,256,1194,1574,59,34,2617,8,11,72.7,9,0,1840,8415,4838,107,11,0,3,9,2039,2010,98.6,6,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,32-330,1988,4.2,147,0,5,65,84,29,139,3,8,37.5,4,2,92,321,148,10,3,2,8,7,171,112,65.5,33,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28-002,1993,22.8,1785,48,380,878,628,60,1580,20,39,51.3,22,2,1073,5205,3146,153,47,4,28,24,1317,1119,85.0,113,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-030,2002,2.4,140,4,37,89,28,4,140,9,11,81.8,10,0,116,710,331,14,3,1,3,9,112,105,93.8,5,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-300,1999,9.0,414,13,106,267,85,13,408,16,21,76.2,17,0,312,1940,1160,38,10,2,19,17,337,284,84.3,21,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-036,2000,1.3,18,0,2,14,3,2,16,0,0,,0,0,10,27,13,1,0,0,1,2,49,9,18.4,2,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-039,1994,21.1,992,50,225,636,191,25,983,20,33,60.6,25,1,630,2720,1354,56,25,2,24,23,689,599,86.9,26,Matches
